max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.082,-0.097,-0.015,0.179,0.076,-0.074,0.002,0.15,0.064,-0.11,-0.046,0.174,0.092,-0.092,0.0,0.184,0.066,-0.086,-0.02,0.152,0.066,-0.062,0.004,0.128
0.002,-0.002,0.0,0.004,0.003,-0.003,0.0,0.006,0.064,-0.12,-0.056,0.184,0.082,-0.104,-0.022,0.186,0.087,-0.076,0.011,0.163,0.103,-0.117,-0.014,0.22
0.168,-0.052,0.116,0.22,0.09,-0.06,0.03,0.15,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005,0.082,-0.024,0.058,0.106,0.092,-0.076,0.016,0.168
0.094,-0.079,0.015,0.173,0.098,-0.074,0.024,0.172,0.062,-0.095,-0.033,0.157,0.164,-0.054,0.11,0.218,0.002,-0.004,-0.002,0.006,0.001,-0.004,-0.003,0.005
0.082,-0.113,-0.031,0.195,0.102,-0.094,0.008,0.196,0.056,-0.159,-0.103,0.215,0.084,-0.062,0.022,0.146,0.001,-0.004,-0.003,0.005,0.0,-0.004,-0.004,0.004
0.121,-0.111,0.01,0.232,0.073,-0.112,-0.039,0.185,0.11,-0.084,0.026,0.194,0.084,-0.086,-0.002,0.17,0.001,-0.005,-0.004,0.006,0.002,-0.004,-0.002,0.006
0.096,-0.057,0.039,0.153,0.08,-0.124,-0.044,0.204,0.102,-0.108,-0.006,0.21,0.091,-0.074,0.017,0.165,0.092,-0.154,-0.062,0.246,0.102,-0.104,-0.002,0.206
0.073,-0.069,0.004,0.142,0.054,-0.094,-0.04,0.148,0.061,-0.15,-0.089,0.211,0.141,-0.081,0.06,0.222,0.002,-0.003,-0.001,0.005,0.001,-0.004,-0.003,0.005
0.1,-0.086,0.014,0.186,0.134,-0.079,0.055,0.213,0.102,-0.065,0.037,0.167,0.124,-0.099,0.025,0.223,0.003,-0.002,0.001,0.005,0.002,-0.003,-0.001,0.005
0.086,-0.09,-0.004,0.176,0.056,-0.098,-0.042,0.154,0.02,-0.134,-0.114,0.154,0.09,-0.106,-0.016,0.196,0.003,-0.002,0.001,0.005,0.002,-0.004,-0.002,0.006
0.104,-0.046,0.058,0.15,0.086,-0.116,-0.03,0.202,0.001,-0.004,-0.003,0.005,0.002,-0.004,-0.002,0.006,0.102,-0.062,0.04,0.164,0.114,-0.072,0.042,0.186
0.034,-0.116,-0.082,0.15,0.072,-0.09,-0.018,0.162,0.002,-0.003,-0.001,0.005,0.002,-0.003,-0.001,0.005,0.04,-0.086,-0.046,0.126,0.052,-0.096,-0.044,0.148
0.172,-0.092,0.08,0.264,0.116,-0.054,0.062,0.17,0.001,-0.003,-0.002,0.004,0.002,-0.003,-0.001,0.005,0.143,-0.049,0.094,0.192,0.106,-0.083,0.023,0.189
0.094,-0.059,0.035,0.153,0.096,-0.106,-0.01,0.202,0.093,-0.09,0.003,0.183,0.08,-0.098,-0.018,0.178,0.004,-0.002,0.002,0.006,0.003,-0.002,0.001,0.005
0.107,-0.127,-0.02,0.234,0.076,-0.16,-0.084,0.236,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005,0.059,-0.116,-0.057,0.175,0.074,-0.074,0.0,0.148
0.086,-0.072,0.014,0.158,0.07,-0.088,-0.018,0.158,0.098,-0.116,-0.018,0.214,0.087,-0.074,0.013,0.161,0.003,-0.004,-0.001,0.007,0.002,-0.004,-0.002,0.006
0.08,-0.09,-0.01,0.17,0.117,-0.139,-0.022,0.256,0.064,-0.096,-0.032,0.16,0.074,-0.097,-0.023,0.171,0.002,-0.004,-0.002,0.006,0.001,-0.004,-0.003,0.005
0.134,-0.148,-0.014,0.282,0.164,-0.118,0.046,0.282,0.166,-0.102,0.064,0.268,0.12,-0.08,0.04,0.2,0.002,-0.003,-0.001,0.005,0.001,-0.003,-0.002,0.004
0.089,-0.095,-0.006,0.184,0.048,-0.163,-0.115,0.211,0.096,-0.106,-0.01,0.202,0.126,-0.115,0.011,0.241,0.066,-0.113,-0.047,0.179,0.08,-0.074,0.006,0.154
0.092,-0.128,-0.036,0.22,0.132,-0.095,0.037,0.227,0.002,-0.004,-0.002,0.006,0.003,-0.002,0.001,0.005,0.09,-0.078,0.012,0.168,0.13,-0.086,0.044,0.216
