max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.001,-0.003,-0.002,0.004,0.002,-0.004,-0.002,0.006,0.812,-0.81,0.002,1.622,0.842,-0.866,-0.024,1.708,1.177,-1.11,0.067,2.287,1.373,-1.315,0.058,2.688
1.116,-1.144,-0.028,2.26,1.335,-1.452,-0.117,2.787,1.152,-1.282,-0.13,2.434,0.99,-1.054,-0.064,2.044,0.002,-0.003,-0.001,0.005,0.003,-0.003,0.0,0.006
0.8,-0.786,0.014,1.586,0.844,-0.804,0.04,1.648,1.081,-1.12,-0.039,2.201,1.395,-1.424,-0.029,2.819,1.24,-1.228,0.012,2.468,1.01,-1.024,-0.014,2.034
1.026,-1.078,-0.052,2.104,1.286,-1.376,-0.09,2.662,1.192,-1.204,-0.012,2.396,1.058,-1.002,0.056,2.06,0.002,-0.004,-0.002,0.006,0.0,-0.004,-0.004,0.004
1.175,-1.22,-0.045,2.395,1.008,-1.032,-0.024,2.04,0.002,-0.004,-0.002,0.006,0.001,-0.004,-0.003,0.005,0.76,-0.839,-0.079,1.599,0.848,-0.898,-0.05,1.746
1.145,-1.098,0.047,2.243,1.47,-1.357,0.113,2.827,1.26,-1.224,0.036,2.484,1.014,-1.038,-0.024,2.052,0.003,-0.004,-0.001,0.007,0.002,-0.004,-0.002,0.006
1.105,-1.086,0.019,2.191,1.322,-1.377,-0.055,2.699,1.216,-1.22,-0.004,2.436,0.996,-0.954,0.042,1.95,0.002,-0.003,-0.001,0.005,0.001,-0.003,-0.002,0.004
0.78,-0.806,-0.026,1.586,0.775,-0.808,-0.033,1.583,1.111,-1.042,0.069,2.153,1.39,-1.324,0.066,2.714,1.254,-1.2,0.054,2.454,0.998,-1.024,-0.026,2.022
1.071,-1.062,0.009,2.133,1.415,-1.426,-0.011,2.841,1.208,-1.264,-0.056,2.472,0.99,-1.028,-0.038,2.018,0.002,-0.004,-0.002,0.006,0.003,-0.001,0.002,0.004
1.132,-1.096,0.036,2.228,1.474,-1.373,0.101,2.847,1.242,-1.181,0.061,2.423,0.948,-0.994,-0.046,1.942,0.002,-0.003,-0.001,0.005,0.002,-0.003,-0.001,0.005
0.002,-0.004,-0.002,0.006,0.001,-0.004,-0.003,0.005,0.826,-0.826,0.0,1.652,0.883,-0.886,-0.003,1.769,1.118,-1.137,-0.019,2.255,1.458,-1.424,0.034,2.882
