max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.69,-0.676,0.014,1.366,0.627,-0.634,-0.007,1.261,0.529,-0.528,0.001,1.057,0.616,-0.668,-0.052,1.284,0.001,-0.004,-0.003,0.005,0.001,-0.003,-0.002,0.004
0.822,-0.721,0.101,1.543,0.694,-0.594,0.1,1.288,0.602,-0.558,0.044,1.16,0.696,-0.745,-0.049,1.441,0.003,-0.004,-0.001,0.007,0.002,-0.002,0.0,0.004
0.844,-0.95,-0.106,1.794,0.793,-0.956,-0.163,1.749,0.751,-0.706,0.045,1.457,0.748,-0.66,0.088,1.408,0.606,-0.518,0.088,1.124,0.649,-0.78,-0.131,1.429
0.755,-0.686,0.069,1.441,0.7,-0.614,0.086,1.314,0.586,-0.573,0.013,1.159,0.73,-0.695,0.035,1.425,0.003,-0.002,0.001,0.005,0.002,-0.004,-0.002,0.006
0.732,-0.678,0.054,1.41,0.675,-0.656,0.019,1.331,0.576,-0.585,-0.009,1.161,0.75,-0.75,0.0,1.5,0.004,-0.004,0.0,0.008,0.002,-0.003,-0.001,0.005
0.655,-0.552,0.103,1.207,0.775,-0.678,0.097,1.453,0.002,-0.004,-0.002,0.006,0.004,-0.002,0.002,0.006,0.994,-0.904,0.09,1.898,0.998,-0.866,0.132,1.864
0.83,-0.732,0.098,1.562,0.598,-0.721,-0.123,1.319,0.702,-0.6,0.102,1.302,0.82,-0.886,-0.066,1.706,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
0.844,-0.977,-0.133,1.821,0.76,-0.882,-0.122,1.642,0.718,-0.743,-0.025,1.461,0.919,-0.989,-0.07,1.908,0.002,-0.003,-0.001,0.005,0.001,-0.002,-0.001,0.003
0.704,-0.867,-0.163,1.571,0.753,-0.717,0.036,1.47,0.52,-0.604,-0.084,1.124,0.856,-0.796,0.06,1.652,0.0,-0.004,-0.004,0.004,0.001,-0.004,-0.003,0.005
0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006,0.81,-1.167,-0.357,1.977,0.822,-1.073,-0.251,1.895,0.708,-0.74,-0.032,1.448,0.612,-0.624,-0.012,1.236
