max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
1.147,-1.21,-0.063,2.357,1.436,-1.431,0.005,2.867,1.152,-1.276,-0.124,2.428,0.934,-0.975,-0.041,1.909,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005
0.848,-0.796,0.052,1.644,0.901,-0.853,0.048,1.754,1.177,-1.124,0.053,2.301,1.496,-1.478,0.018,2.974,1.364,-1.244,0.12,2.608,1.024,-0.968,0.056,1.992
1.115,-1.068,0.047,2.183,1.442,-1.393,0.049,2.835,1.24,-1.174,0.066,2.414,1.068,-0.941,0.127,2.009,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006
1.131,-1.11,0.021,2.241,1.442,-1.42,0.022,2.862,1.2,-1.294,-0.094,2.494,1.0,-1.028,-0.028,2.028,0.001,-0.004,-0.003,0.005,0.002,-0.002,0.0,0.004
0.588,-0.721,-0.133,1.309,0.761,-0.778,-0.017,1.539,1.086,-1.026,0.06,2.112,1.306,-1.341,-0.035,2.647,1.133,-1.131,0.002,2.264,0.932,-0.92,0.012,1.852
0.762,-0.736,0.026,1.498,0.812,-0.8,0.012,1.612,1.224,-1.174,0.05,2.398,1.46,-1.43,0.03,2.89,1.268,-1.24,0.028,2.508,1.0,-1.008,-0.008,2.008
1.067,-1.142,-0.075,2.209,1.39,-1.387,0.003,2.777,1.244,-1.159,0.085,2.403,0.976,-0.896,0.08,1.872,0.002,-0.004,-0.002,0.006,0.003,-0.001,0.002,0.004
1.148,-1.06,0.088,2.208,1.382,-1.304,0.078,2.686,1.3,-1.101,0.199,2.401,1.004,-0.944,0.06,1.948,0.001,-0.004,-0.003,0.005,0.003,-0.003,0.0,0.006
0.683,-0.722,-0.039,1.405,0.879,-1.144,-0.265,2.023,1.284,-1.496,-0.212,2.78,1.292,-1.065,0.227,2.357,0.917,-0.86,0.057,1.777,0.001,-0.004,-0.003,0.005
0.764,-0.728,0.036,1.492,0.834,-0.786,0.048,1.62,1.162,-1.096,0.066,2.258,1.368,-1.268,0.1,2.636,1.256,-1.117,0.139,2.373,1.065,-0.849,0.216,1.914
1.175,-1.042,0.133,2.217,1.392,-1.345,0.047,2.737,1.25,-1.153,0.097,2.403,0.986,-0.884,0.102,1.87,0.004,-0.002,0.002,0.006,0.002,-0.004,-0.002,0.006
